"Page","Reference Number","Total Bill (PKR)"
"1","=""31232140166707""","859,317"
"2","=""31262140091800""","1,041,722"
"3","=""31262140127454""","413"
"4","=""31262140016400""","887,227"
"5","=""31262140091100""","2,429,282"
"6","=""31262140015900""","405,330"
"7","=""31262140000700""","698,270"
"8","=""31262140000600""","707,665"
"9","=""31262140000500""","846,931"
"10","=""31262140000400""","1627,058"
"11","=""31262140019300""","878.099"
"12","=""31262140030500""","44,625"
"13","=""31262140096700""","673,272"
"14","=""31262140100700""","1,171,755"
"15","=""31262140009500""","1,078.3.10"
"16","=""31262140144351""","1,087,575"
"17","=""31262140144342""","791,746"
"18","=""31252140144343""","741,514"
"19","=""31262140116100""","1,029,267"
"20","=""31262140105900""","887,406"
"21","=""31262140016100""","705,320"
"22","=""31262140155103""","48,028"
"23","=""31262140020200""","625,140"
"24","=""31262140016000""","856,321"
"25","=""31262140020500""","581,402"
"26","=""31262140026000""","260000"
"27","=""31262140030600""","624,527"
"28","=""31262140091600""","282,87"
"29","=""31262140009400""","581,627"
"30","=""31262140155104""","676,724"
"31","=""31262140011800""","777,392"
"32","=""31262140127450""","N/A"
"33","=""31262140127448""","579,315"
"34","=""31262140127447""","569,312"
"35","=""31262140019200""","726,641"
"36","=""31262140019500""","413"
"37","=""31262140030700""","595,326"
"38","=""31262140030800""","723,164"
"39","=""12621400261000""","694,987"
"40","=""31262140096600""","632,110"
"41","=""31262140100800""","974,817"
"42","=""31262140155105""","939,173"
"43","=""""","N/A"
"44","=""31262140501100""","978,673"
"45","=""31262140019400""","799836"
"46","=""31262140127451""","652,943"
"47","=""31621400917000""","859,059"
"48","=""31262140096500""","813.692"
"49","=""31262140096400""","413"
"50","=""31262140127452""","840,455"
"51","=""31262140261260""","189,808"
"52","=""31262140501250""","536,302"
"53","=""31262140025200""","256,252"
"54","=""31262140155102""","798,003"
"55","=""31262140009206""","929,637)"
"56","=""31262160012100""","1,294,764"
"57","=""31262160012000""","1,895,594"
"58","=""31262160020400""","544,178"
"59","=""31262160010800""","1,425,757"
"60","=""31262160010700""","1,312,701"
"61","=""31262160025400""","1,600,917"
"62","=""31262160025500""","39,535"
"63","=""31262160025401""","413"
"64","=""31262160701043""","1,089,395"
"65","=""31262160701044""","947,941"
"66","=""31262160701045""","1,632,276"
"67","=""31262160031300""","694,439"
"68","=""31262160030200""","633,960"
"69","=""31262160016100""","1,198,128"
"70","=""31262160016000""","781,973"
"71","=""31262160097800""","955,159"
"72","=""31262160016500""","1,014,666"
"73","=""31262160054606""","1,095,798"
"74","=""31262160054708""","720,167"
"75","=""31262160017900""","1,618,166"
"76","=""31262160016300""","1,991,876"
"77","=""31262160025100""","897,735"
"78","=""31262160025300""","785,462"
"79","=""31264160025600""","583,205"
"80","=""31262160091900""","648,729"
